backend,size_label,test_type,session_ts,run,row_count,elapsed_ms,total_bytes,total_mb,object_count,object_size_mb,throughput_mb_s,list_requests,scan_ms,agg_ms,rows_scanned,rows_matched,num_groups,preset_name,filter_region,filter_event_type,filter_character,filter_mood,filter_date_from,filter_date_to,validation_ms,metadata_ms
azure,test,scan/v1,2026-05-13T10:32:42.551382+00:00,1,1000,405.5694999406114,,,1,,,,403.28566601965576,2.283833920955658,1000,75,15,v1,Pemberley,,,,1812-01-01,1812-07-01,,
azure,test,scan/v1,2026-05-13T10:32:42.551382+00:00,2,1000,106.65433399844915,,,1,,,,106.38091701548547,0.2734169829636812,1000,75,15,v1,Pemberley,,,,1812-01-01,1812-07-01,,
azure,test,scan/v1,2026-05-13T10:32:42.551382+00:00,3,1000,112.94474999886006,,,1,,,,112.45899996720254,0.48575003165751696,1000,75,15,v1,Pemberley,,,,1812-01-01,1812-07-01,,
